Snohomish,Washington,7592.0,758649
Cook,Illinois,57660.0,5227575
Orange,California,22753.0,3132211
Maricopa,Arizona,43437.0,4088549
Los Angeles,California,84296.0,10057155
Santa Clara,California,11662.0,1885056
Suffolk,Massachusetts,6642.0,767719
San Francisco,California,6898.0,850282
Dane,Wisconsin,4107.0,516818
San Diego,California,26319.0,3253356
Bexar,Texas,20421.0,1858699
Douglas,Nebraska,5723.0,543253
Humboldt,California,2079.0,135182
Sacramento,California,16234.0,1479300
Solano,California,4789.0,429596
Spokane,Washington,6228.0,485859
Salt Lake,Utah,9728.0,1092518
Marin,California,1818.0,259358
Napa,California,1284.0,140823
Sonoma,California,4875.0,497776
Washington,Oregon,4158.0,564088
King,Washington,16726.0,2079550
Alameda,California,12714.0,1605217
Hillsborough,Florida,15716.0,1323059
Manatee,Florida,5151.0,353411
New York City,New York,71504.0,8461961
Placer,California,3456.0,370571
San Mateo,California,4844.0,754748
Fulton,Georgia,10496.0,996757
Norfolk,Massachusetts,6099.0,691218
Grafton,New Hampshire,1015.0,89164
Walla Walla,Washington,654.0,59809
Contra Costa,California,9400.0,1107925
Wake,North Carolina,7797.0,998576
Bergen,New Jersey,6992.0,930310
Westchester,New York,7306.0,969229
Fort Bend,Texas,5239.0,683756
Chelan,Washington,755.0,74761
Douglas,Colorado,1763.0,314238
Jefferson,Colorado,5449.0,558810
Santa Rosa,Florida,2305.0,163903
Montgomery,Maryland,6845.0,1026371
Middlesex,Massachusetts,12483.0,1567610
Clark,Nevada,26581.0,2070153
Washoe,Nevada,5910.0,439914
Nassau,New York,10857.0,1356801
Williamson,Tennessee,1565.0,205645
Harris,Texas,44526.0,4434257
Pinal,Arizona,4896.0,397604
Yolo,California,1624.0,209671
Denver,Colorado,6723.0,663303
Eagle,Colorado,246.0,52894
El Paso,Colorado,7379.0,665171
Broward,Florida,19997.0,1863780
Lee,Florida,9014.0,680970
Polk,Georgia,800.0,41263
Honolulu,Hawaii,9229.0,986999
Marion,Indiana,13592.0,932142
Fayette,Kentucky,3703.0,311529
Ramsey,Minnesota,5214.0,531528
Camden,New Jersey,6843.0,511145
Rockland,New York,2420.0,322642
Chatham,North Carolina,794.0,68778
Tulsa,Oklahoma,8823.0,629823
Delaware,Pennsylvania,6831.0,562316
Wayne,Pennsylvania,761.0,51307
Charleston,South Carolina,4835.0,380673
Kershaw,South Carolina,1077.0,63090
Davis,Utah,2257.0,329292
Washington,Utah,1530.0,151959
Clark,Washington,4567.0,450893
Jefferson,Washington,444.0,30333
Pierce,Washington,9856.0,832896
Fresno,California,10121.0,963160
Madera,California,1637.0,153366
Riverside,California,22791.0,2323892
Santa Cruz,California,2263.0,270931
District of Columbia,District of Columbia,8387.0,659009
Charlotte,Florida,2932.0,169642
Okaloosa,Florida,2666.0,195798
Volusia,Florida,9630.0,510806
Cobb,Georgia,6495.0,728388
Gwinnett,Georgia,6858.0,874242
Johnson,Kansas,4306.0,572428
Berkshire,Massachusetts,1765.0,128563
St. Louis,Missouri,12558.0,1000560
Rockingham,New Hampshire,3226.0,300365
Saratoga,New York,2325.0,224929
Jackson,Oregon,2893.0,210916
Klamath,Oregon,1113.0,65946
Montgomery,Pennsylvania,7892.0,815876
Bennington,Vermont,530.0,36503
Fairfax,Virginia,6358.0,1132887
Kittitas,Washington,412.0,42785
Fairfield,Connecticut,7104.0,941618
Cherokee,Georgia,2368.0,230629
Hendricks,Indiana,1493.0,155817
Johnson,Iowa,1003.0,142006
Harrison,Kentucky,348.0,18629
Jefferson,Kentucky,11968.0,759724
Harford,Maryland,3028.0,249776
Worcester,Massachusetts,9071.0,813589
Carver,Minnesota,568.0,97143
Passaic,New Jersey,4797.0,507204
Suffolk,New York,14740.0,1498130
Ulster,New York,2199.0,180505
Douglas,Oregon,1982.0,107375
Marion,Oregon,3708.0,326527
Spartanburg,South Carolina,4881.0,294229
Davidson,Tennessee,8725.0,667885
Shelby,Tennessee,14228.0,936990
Kitsap,Washington,2912.0,257488
Pima,Arizona,12658.0,1003338
Shasta,California,3110.0,179228
Arapahoe,Colorado,5228.0,617668
Larimer,Colorado,2883.0,325228
DeKalb,Georgia,7541.0,723902
Fayette,Georgia,1062.0,109495
Floyd,Georgia,1629.0,96199
Noble,Indiana,619.0,47587
Pottawattamie,Iowa,1305.0,93198
Jefferson,Louisiana,6426.0,435204
Prince George's,Maryland,10137.0,897693
Hudson,New Jersey,5528.0,668526
Monmouth,New Jersey,6396.0,627532
Union,New Jersey,4912.0,550436
Cuyahoga,Ohio,18712.0,1258710
Monroe,Pennsylvania,2189.0,167126
Collin,Texas,6260.0,886633
Virginia Beach city,Virginia,4241.0,449733
Pierce,Wisconsin,358.0,40881
San Joaquin,California,8355.0,714860
Ventura,California,6707.0,843110
Gunnison,Colorado,117.0,15889
Alachua,Florida,2811.0,256581
Collier,Florida,3326.0,348236
Nassau,Florida,1375.0,77187
Pasco,Florida,8580.0,488310
Pinellas,Florida,15198.0,939548
Charlton,Georgia,191.0,12968
Kane,Illinois,4327.0,526615
McHenry,Illinois,2908.0,307083
Adams,Indiana,384.0,34813
Boone,Indiana,626.0,61884
Orleans,Louisiana,5831.0,382922
Essex,Massachusetts,7915.0,769362
Oakland,Michigan,13124.0,1235215
Wayne,Michigan,29275.0,1767593
Anoka,Minnesota,3129.0,341249
Burlington,New Jersey,5165.0,450236
Multnomah,Oregon,8367.0,778193
Philadelphia,Pennsylvania,23199.0,1559938
Beadle,South Dakota,211.0,18155
Charles Mix,South Dakota,149.0,9277
Davison,South Dakota,231.0,19824
Minnehaha,South Dakota,1899.0,182014
Sullivan,Tennessee,2930.0,156644
Dallas,Texas,26180.0,2513054
Montgomery,Texas,5811.0,518849
Tarrant,Texas,20192.0,1947529
Weber,Utah,2496.0,241328
Loudoun,Virginia,1887.0,362435
Skagit,Washington,1427.0,120475
Whatcom,Washington,2088.0,209729
Jefferson,Arkansas,1410.0,72385
Stanislaus,California,6261.0,530561
Pitkin,Colorado,98.0,17543
New Castle,Delaware,6824.0,551997
Miami-Dade,Florida,24185.0,2664418
St. Johns,Florida,2553.0,218362
Bartow,Georgia,1501.0,101942
Lee,Georgia,386.0,29134
Lowndes,Georgia,1518.0,113898
Lake,Illinois,5757.0,702890
Howard,Indiana,1551.0,82728
Johnson,Indiana,1669.0,147567
St. Joseph,Indiana,3633.0,267696
Caddo,Louisiana,4324.0,253125
Baltimore,Maryland,10845.0,825666
Olmsted,Minnesota,1171.0,150104
Forrest,Mississippi,1306.0,76274
Middlesex,New Jersey,7210.0,831852
Bernalillo,New Mexico,8403.0,674777
Santa Fe,New Mexico,1753.0,147320
Socorro,New Mexico,273.0,17324
Monroe,New York,7898.0,749236
Ward,North Dakota,555.0,68954
Stark,Ohio,5722.0,374762
Deschutes,Oregon,1753.0,170813
Linn,Oregon,1711.0,119862
Polk,Oregon,863.0,78470
Umatilla,Oregon,948.0,76582
Bucks,Pennsylvania,6966.0,626220
Lancaster,South Carolina,1355.0,83704
Bon Homme,South Dakota,74.0,7001
Gregg,Texas,1892.0,123283
Chittenden,Vermont,1377.0,160510
Arlington,Virginia,1077.0,226092
Island,Washington,916.0,80113
Thurston,Washington,2994.0,266311
Fond du Lac,Wisconsin,1070.0,101968
Waukesha,Wisconsin,3490.0,395377
Sheridan,Wyoming,437.0,29924
Anchorage,Alaska,3203.0,299321
Pulaski,Arkansas,5848.0,391806
Tulare,California,4693.0,455769
Adams,Colorado,4658.0,479977
Litchfield,Connecticut,2066.0,185141
Clay,Florida,2749.0,200346
Duval,Florida,13806.0,900890
Palm Beach,Florida,15549.0,1398757
Sarasota,Florida,5522.0,398011
Seminole,Florida,4689.0,442905
Carroll,Iowa,220.0,20555
Wyandotte,Kansas,2309.0,161777
Montgomery,Kentucky,513.0,27391
Androscoggin,Maine,1488.0,107376
Ingham,Michigan,3170.0,284559
Kent,Michigan,6023.0,629352
Montcalm,Michigan,889.0,62922
St. Clair,Michigan,2446.0,160069
Washtenaw,Michigan,2914.0,358082
Dakota,Minnesota,3147.0,411402
Hennepin,Minnesota,10566.0,1209265
Stearns,Minnesota,1261.0,153661
Greene,Missouri,3962.0,285449
Cass,Nebraska,298.0,25463
Carson City,Nevada,1086.0,54412
Essex,New Jersey,8923.0,792586
Morris,New Jersey,3871.0,498215
Albany,New York,3307.0,307891
