1,Snohomish,Washington
2,Cook,Illinois
3,Orange,California
4,Maricopa,Arizona
5,Los Angeles,California
6,Santa Clara,California
7,Suffolk,Massachusetts
8,San Francisco,California
9,Dane,Wisconsin
10,San Diego,California
11,Bexar,Texas
12,Douglas,Nebraska
13,Humboldt,California
14,Sacramento,California
15,Solano,California
16,Spokane,Washington
17,Salt Lake,Utah
18,Marin,California
19,Napa,California
20,Sonoma,California
21,Washington,Oregon
22,King,Washington
23,Alameda,California
24,Hillsborough,Florida
25,Manatee,Florida
26,New York City,New York
27,Placer,California
28,San Mateo,California
29,Fulton,Georgia
30,Norfolk,Massachusetts
31,Grafton,New Hampshire
32,Walla Walla,Washington
33,Contra Costa,California
34,Wake,North Carolina
35,Bergen,New Jersey
36,Westchester,New York
37,Fort Bend,Texas
38,Chelan,Washington
39,Douglas,Colorado
40,Jefferson,Colorado
41,Santa Rosa,Florida
42,Montgomery,Maryland
43,Middlesex,Massachusetts
44,Clark,Nevada
45,Washoe,Nevada
46,Nassau,New York
47,Williamson,Tennessee
48,Harris,Texas
49,Pinal,Arizona
50,Yolo,California
51,Denver,Colorado
52,Eagle,Colorado
53,El Paso,Colorado
54,Broward,Florida
55,Lee,Florida
56,Polk,Georgia
57,Honolulu,Hawaii
58,Marion,Indiana
59,Fayette,Kentucky
60,Ramsey,Minnesota
61,Camden,New Jersey
62,Rockland,New York
63,Chatham,North Carolina
64,Tulsa,Oklahoma
65,Delaware,Pennsylvania
66,Wayne,Pennsylvania
67,Charleston,South Carolina
68,Kershaw,South Carolina
69,Davis,Utah
70,Washington,Utah
71,Clark,Washington
72,Jefferson,Washington
73,Pierce,Washington
74,Fresno,California
75,Madera,California
76,Riverside,California
77,Santa Cruz,California
78,District of Columbia,District of Columbia
79,Charlotte,Florida
80,Okaloosa,Florida
81,Volusia,Florida
82,Cobb,Georgia
83,Gwinnett,Georgia
84,Johnson,Kansas
85,Berkshire,Massachusetts
86,St. Louis,Missouri
87,Rockingham,New Hampshire
88,Saratoga,New York
89,Jackson,Oregon
90,Klamath,Oregon
91,Montgomery,Pennsylvania
92,Bennington,Vermont
93,Fairfax,Virginia
94,Kittitas,Washington
95,Fairfield,Connecticut
96,Cherokee,Georgia
97,Hendricks,Indiana
98,Johnson,Iowa
99,Harrison,Kentucky
100,Jefferson,Kentucky
101,Harford,Maryland
102,Worcester,Massachusetts
103,Carver,Minnesota
104,Passaic,New Jersey
105,Suffolk,New York
106,Ulster,New York
107,Douglas,Oregon
108,Marion,Oregon
109,Spartanburg,South Carolina
110,Davidson,Tennessee
111,Shelby,Tennessee
112,Kitsap,Washington
113,Pima,Arizona
114,Shasta,California
115,Arapahoe,Colorado
116,Larimer,Colorado
117,DeKalb,Georgia
118,Fayette,Georgia
119,Floyd,Georgia
120,Noble,Indiana
121,Pottawattamie,Iowa
122,Jefferson,Louisiana
123,Prince George's,Maryland
124,Hudson,New Jersey
125,Monmouth,New Jersey
126,Union,New Jersey
127,Cuyahoga,Ohio
128,Monroe,Pennsylvania
129,Collin,Texas
130,Virginia Beach city,Virginia
131,Pierce,Wisconsin
132,San Joaquin,California
133,Ventura,California
134,Gunnison,Colorado
135,Alachua,Florida
136,Collier,Florida
137,Nassau,Florida
138,Pasco,Florida
139,Pinellas,Florida
140,Charlton,Georgia
141,Kane,Illinois
142,McHenry,Illinois
143,Adams,Indiana
144,Boone,Indiana
145,Orleans,Louisiana
146,Essex,Massachusetts
147,Oakland,Michigan
148,Wayne,Michigan
149,Anoka,Minnesota
150,Burlington,New Jersey
151,Multnomah,Oregon
152,Philadelphia,Pennsylvania
153,Beadle,South Dakota
154,Charles Mix,South Dakota
155,Davison,South Dakota
156,Minnehaha,South Dakota
157,Sullivan,Tennessee
158,Dallas,Texas
159,Montgomery,Texas
160,Tarrant,Texas
161,Weber,Utah
162,Loudoun,Virginia
163,Skagit,Washington
164,Whatcom,Washington
165,Jefferson,Arkansas
166,Stanislaus,California
167,Pitkin,Colorado
168,New Castle,Delaware
169,Miami-Dade,Florida
170,St. Johns,Florida
171,Bartow,Georgia
172,Lee,Georgia
173,Lowndes,Georgia
174,Lake,Illinois
175,Howard,Indiana
176,Johnson,Indiana
177,St. Joseph,Indiana
178,Caddo,Louisiana
179,Baltimore,Maryland
180,Olmsted,Minnesota
181,Forrest,Mississippi
182,Middlesex,New Jersey
183,Bernalillo,New Mexico
184,Santa Fe,New Mexico
185,Socorro,New Mexico
186,Monroe,New York
187,Ward,North Dakota
188,Stark,Ohio
189,Deschutes,Oregon
190,Linn,Oregon
191,Polk,Oregon
192,Umatilla,Oregon
193,Bucks,Pennsylvania
194,Lancaster,South Carolina
195,Bon Homme,South Dakota
196,Gregg,Texas
197,Chittenden,Vermont
198,Arlington,Virginia
199,Island,Washington
200,Thurston,Washington
201,Fond du Lac,Wisconsin
202,Waukesha,Wisconsin
203,Sheridan,Wyoming
204,Anchorage,Alaska
205,Pulaski,Arkansas
206,Tulare,California
207,Adams,Colorado
208,Litchfield,Connecticut
209,Clay,Florida
210,Duval,Florida
211,Palm Beach,Florida
212,Sarasota,Florida
213,Seminole,Florida
214,Carroll,Iowa
215,Wyandotte,Kansas
216,Montgomery,Kentucky
217,Androscoggin,Maine
218,Ingham,Michigan
219,Kent,Michigan
220,Montcalm,Michigan
221,St. Clair,Michigan
222,Washtenaw,Michigan
223,Dakota,Minnesota
224,Hennepin,Minnesota
225,Stearns,Minnesota
226,Greene,Missouri
227,Cass,Nebraska
228,Carson City,Nevada
229,Essex,New Jersey
230,Morris,New Jersey
231,Albany,New York
232,Delaware,New York
233,Dutchess,New York
234,Herkimer,New York
235,Orange,New York
236,Cabarrus,North Carolina
237,Forsyth,North Carolina
238,Johnston,North Carolina
239,Mecklenburg,North Carolina
240,Onslow,North Carolina
241,Trumbull,Ohio
242,Clackamas,Oregon
243,Northampton,Pennsylvania
244,Pike,Pennsylvania
245,Knox,Tennessee
246,Alexandria city,Virginia
247,Hanover,Virginia
248,James City,Virginia
249,Prince Edward,Virginia
250,Prince William,Virginia
251,Columbia,Washington
252,Grays Harbor,Washington
253,Yakima,Washington
254,Elmore,Alabama
255,Jefferson,Alabama
256,Limestone,Alabama
257,Montgomery,Alabama
258,Tuscaloosa,Alabama
259,San Benito,California
260,Clear Creek,Colorado
261,Pueblo,Colorado
262,Routt,Colorado
263,Summit,Colorado
264,Weld,Colorado
265,Orange,Florida
266,Osceola,Florida
267,Gordon,Georgia
268,Henry,Georgia
269,Ada,Idaho
270,Harrison,Iowa
271,Butler,Kansas
272,St. Charles,Louisiana
273,St. Tammany,Louisiana
274,Terrebonne,Louisiana
275,Cumberland,Maine
276,Anne Arundel,Maryland
277,Charles,Maryland
278,Bay,Michigan
279,Charlevoix,Michigan
280,Leelanau,Michigan
281,Macomb,Michigan
282,Wright,Minnesota
283,Copiah,Mississippi
284,Leflore,Mississippi
285,Pearl River,Mississippi
286,Henry,Missouri
287,Gallatin,Montana
288,Lewis and Clark,Montana
289,Silver Bow,Montana
290,Yellowstone,Montana
291,Ocean,New Jersey
292,Schenectady,New York
293,Wayne,North Carolina
294,Oklahoma,Oklahoma
295,Chester,Pennsylvania
296,Cumberland,Pennsylvania
297,Washington,Pennsylvania
298,McCook,South Dakota
299,Hamilton,Tennessee
300,Jefferson,Tennessee
301,Rutherford,Tennessee
302,Bell,Texas
303,El Paso,Texas
304,Galveston,Texas
305,Smith,Texas
306,Travis,Texas
307,Harrisonburg city,Virginia
308,Grant,Washington
309,Milwaukee,Wisconsin
310,Racine,Wisconsin
311,Sheboygan,Wisconsin
312,Fremont,Wyoming
313,Baldwin,Alabama
314,Graham,Arizona
315,San Luis Obispo,California
316,Boulder,Colorado
317,Mesa,Colorado
318,Hartford,Connecticut
319,New Haven,Connecticut
320,Coweta,Georgia
321,Kauai,Hawaii
322,Blaine,Idaho
323,Teton,Idaho
324,Cumberland,Illinois
325,DuPage,Illinois
326,Sangamon,Illinois
327,St. Clair,Illinois
328,Woodford,Illinois
329,LaPorte,Indiana
330,Wells,Indiana
331,Dallas,Iowa
332,Franklin,Kansas
333,Bourbon,Kentucky
334,Nelson,Kentucky
335,Bossier,Louisiana
336,Lafourche,Louisiana
337,St. John the Baptist,Louisiana
338,Carroll,Maryland
339,Barnstable,Massachusetts
340,Bristol,Massachusetts
341,Monroe,Michigan
342,Renville,Minnesota
343,Missoula,Montana
344,Mercer,New Jersey
345,Sandoval,New Mexico
346,Broome,New York
347,Tioga,New York
348,Tompkins,New York
349,Brunswick,North Carolina
350,Craven,North Carolina
351,Harnett,North Carolina
352,Belmont,Ohio
353,Butler,Ohio
354,Franklin,Ohio
355,Lorain,Ohio
356,Summit,Ohio
357,Tuscarawas,Ohio
358,Jackson,Oklahoma
359,Allegheny,Pennsylvania
360,Beaufort,South Carolina
361,Lexington,South Carolina
362,Campbell,Tennessee
363,Brazoria,Texas
364,Hays,Texas
365,Summit,Utah
366,Washington,Vermont
367,Windsor,Vermont
368,Chesterfield,Virginia
369,Spotsylvania,Virginia
370,Klickitat,Washington
371,Winnebago,Wisconsin
372,Lee,Alabama
373,Shelby,Alabama
374,Garland,Arkansas
375,Saline,Arkansas
376,San Bernardino,California
377,Santa Barbara,California
378,Garfield,Colorado
379,Baker,Florida
380,Citrus,Florida
381,Clarke,Georgia
382,Clayton,Georgia
383,Dougherty,Georgia
384,Newton,Georgia
385,Maui,Hawaii
386,Clinton,Illinois
387,Whiteside,Illinois
388,Winnebago,Illinois
389,Hamilton,Indiana
390,Allamakee,Iowa
391,Polk,Iowa
392,Clark,Kentucky
