Snohomish,Washington,7592.0,224777
Cook,Illinois,57660.0,1557994
Orange,California,22753.0,869040
Maricopa,Arizona,43437.0,1173229
Los Angeles,California,84296.0,2997389
Santa Clara,California,11662.0,585883
Suffolk,Massachusetts,6642.0,284811
San Francisco,California,6898.0,340224
Dane,Wisconsin,4107.0,151506
San Diego,California,26319.0,978240
Bexar,Texas,20421.0,563419
Douglas,Nebraska,5723.0,160345
Humboldt,California,2079.0,35373
Sacramento,California,16234.0,432095
Solano,California,4789.0,117987
Spokane,Washington,6228.0,133353
Salt Lake,Utah,9728.0,347421
Marin,California,1818.0,54573
Napa,California,1284.0,35038
Sonoma,California,4875.0,127183
Washington,Oregon,4158.0,177782
King,Washington,16726.0,705534
Alameda,California,12714.0,516424
Hillsborough,Florida,15716.0,395227
Manatee,Florida,5151.0,77754
New York City,New York,71504.0,2660695
Placer,California,3456.0,90501
San Mateo,California,4844.0,222084
Fulton,Georgia,10496.0,318209
Norfolk,Massachusetts,6099.0,176173
Grafton,New Hampshire,1015.0,20026
Walla Walla,Washington,654.0,14314
Contra Costa,California,9400.0,295476
Wake,North Carolina,7797.0,313532
Bergen,New Jersey,6992.0,230103
Westchester,New York,7306.0,234209
Fort Bend,Texas,5239.0,204612
Chelan,Washington,755.0,17813
Douglas,Colorado,1763.0,85839
Jefferson,Colorado,5449.0,157065
Santa Rosa,Florida,2305.0,45073
Montgomery,Maryland,6845.0,278320
Middlesex,Massachusetts,12483.0,454287
Clark,Nevada,26581.0,616012
Washoe,Nevada,5910.0,121610
Nassau,New York,10857.0,318254
Williamson,Tennessee,1565.0,52242
Harris,Texas,44526.0,1404708
Pinal,Arizona,4896.0,110745
Yolo,California,1624.0,54436
Denver,Colorado,6723.0,266837
Eagle,Colorado,246.0,17666
El Paso,Colorado,7379.0,193749
Broward,Florida,19997.0,513183
Lee,Florida,9014.0,152459
Polk,Georgia,800.0,10566
Honolulu,Hawaii,9229.0,275666
Marion,Indiana,13592.0,278548
Fayette,Kentucky,3703.0,91406
Ramsey,Minnesota,5214.0,154913
Camden,New Jersey,6843.0,133411
Rockland,New York,2420.0,73016
Chatham,North Carolina,794.0,14443
Tulsa,Oklahoma,8823.0,177156
Delaware,Pennsylvania,6831.0,139477
Wayne,Pennsylvania,761.0,11372
Charleston,South Carolina,4835.0,118040
Kershaw,South Carolina,1077.0,15136
Davis,Utah,2257.0,97550
Washington,Utah,1530.0,37107
Clark,Washington,4567.0,122605
Jefferson,Washington,444.0,5167
Pierce,Washington,9856.0,243188
Fresno,California,10121.0,269117
Madera,California,1637.0,41051
Riverside,California,22791.0,632544
Santa Cruz,California,2263.0,65427
District of Columbia,District of Columbia,8387.0,258892
Charlotte,Florida,2932.0,26352
Okaloosa,Florida,2666.0,55808
Volusia,Florida,9630.0,115258
Cobb,Georgia,6495.0,215231
Gwinnett,Georgia,6858.0,253897
Johnson,Kansas,4306.0,161930
Berkshire,Massachusetts,1765.0,26514
St. Louis,Missouri,12558.0,244456
Rockingham,New Hampshire,3226.0,71025
Saratoga,New York,2325.0,55364
Jackson,Oregon,2893.0,51346
Klamath,Oregon,1113.0,15246
Montgomery,Pennsylvania,7892.0,204279
Bennington,Vermont,530.0,6796
Fairfax,Virginia,6358.0,321468
Kittitas,Washington,412.0,9681
Fairfield,Connecticut,7104.0,226868
Cherokee,Georgia,2368.0,63716
Hendricks,Indiana,1493.0,43616
Johnson,Iowa,1003.0,40672
Harrison,Kentucky,348.0,4229
Jefferson,Kentucky,11968.0,208649
Harford,Maryland,3028.0,61638
Worcester,Massachusetts,9071.0,204729
Carver,Minnesota,568.0,25305
Passaic,New Jersey,4797.0,131553
Suffolk,New York,14740.0,351314
Ulster,New York,2199.0,42727
Douglas,Oregon,1982.0,22916
Marion,Oregon,3708.0,88326
Spartanburg,South Carolina,4881.0,76257
Davidson,Tennessee,8725.0,228586
Shelby,Tennessee,14228.0,254212
Kitsap,Washington,2912.0,67007
Pima,Arizona,12658.0,243726
Shasta,California,3110.0,41872
Arapahoe,Colorado,5228.0,188738
Larimer,Colorado,2883.0,89714
DeKalb,Georgia,7541.0,231876
Fayette,Georgia,1062.0,22145
Floyd,Georgia,1629.0,23786
Noble,Indiana,619.0,11402
Pottawattamie,Iowa,1305.0,22370
Jefferson,Louisiana,6426.0,117751
Prince George's,Maryland,10137.0,256575
Hudson,New Jersey,5528.0,244193
Monmouth,New Jersey,6396.0,138133
Union,New Jersey,4912.0,146980
Cuyahoga,Ohio,18712.0,314364
Monroe,Pennsylvania,2189.0,36250
Collin,Texas,6260.0,272683
Virginia Beach city,Virginia,4241.0,133075
Pierce,Wisconsin,358.0,9221
San Joaquin,California,8355.0,195573
Ventura,California,6707.0,217770
Gunnison,Colorado,117.0,4501
Alachua,Florida,2811.0,68588
Collier,Florida,3326.0,70926
Nassau,Florida,1375.0,18595
Pasco,Florida,8580.0,117692
Pinellas,Florida,15198.0,218756
Charlton,Georgia,191.0,3351
Kane,Illinois,4327.0,136485
McHenry,Illinois,2908.0,73353
Adams,Indiana,384.0,7840
Boone,Indiana,626.0,16231
Orleans,Louisiana,5831.0,122504
Essex,Massachusetts,7915.0,188501
Oakland,Michigan,13124.0,318111
Wayne,Michigan,29275.0,448854
Anoka,Minnesota,3129.0,91765
Burlington,New Jersey,5165.0,109662
Multnomah,Oregon,8367.0,279475
Philadelphia,Pennsylvania,23199.0,487364
Beadle,South Dakota,211.0,4598
Charles Mix,South Dakota,149.0,1848
Davison,South Dakota,231.0,4906
Minnehaha,South Dakota,1899.0,53718
Sullivan,Tennessee,2930.0,35632
Dallas,Texas,26180.0,780820
Montgomery,Texas,5811.0,146465
Tarrant,Texas,20192.0,578496
Weber,Utah,2496.0,71494
Loudoun,Virginia,1887.0,113840
Skagit,Washington,1427.0,29583
Whatcom,Washington,2088.0,53938
Jefferson,Arkansas,1410.0,17260
Stanislaus,California,6261.0,145266
Pitkin,Colorado,98.0,5095
New Castle,Delaware,6824.0,148776
Miami-Dade,Florida,24185.0,769316
St. Johns,Florida,2553.0,53615
Bartow,Georgia,1501.0,27042
Lee,Georgia,386.0,8188
Lowndes,Georgia,1518.0,30039
Lake,Illinois,5757.0,166930
Howard,Indiana,1551.0,19190
Johnson,Indiana,1669.0,40809
St. Joseph,Indiana,3633.0,67150
Caddo,Louisiana,4324.0,64660
Baltimore,Maryland,10845.0,215100
Olmsted,Minnesota,1171.0,42071
Forrest,Mississippi,1306.0,20126
Middlesex,New Jersey,7210.0,226995
Bernalillo,New Mexico,8403.0,187505
Santa Fe,New Mexico,1753.0,33811
Socorro,New Mexico,273.0,3450
Monroe,New York,7898.0,187573
Ward,North Dakota,555.0,20629
Stark,Ohio,5722.0,86076
Deschutes,Oregon,1753.0,46920
Linn,Oregon,1711.0,30755
Polk,Oregon,863.0,18740
Umatilla,Oregon,948.0,20069
Bucks,Pennsylvania,6966.0,142222
Lancaster,South Carolina,1355.0,22670
Bon Homme,South Dakota,74.0,1721
Gregg,Texas,1892.0,31829
Chittenden,Vermont,1377.0,41144
Arlington,Virginia,1077.0,97129
Island,Washington,916.0,19220
Thurston,Washington,2994.0,75722
Fond du Lac,Wisconsin,1070.0,24014
Waukesha,Wisconsin,3490.0,89815
Sheridan,Wyoming,437.0,7131
Anchorage,Alaska,3203.0,89484
Pulaski,Arkansas,5848.0,109122
Tulare,California,4693.0,122186
Adams,Colorado,4658.0,153466
Litchfield,Connecticut,2066.0,37724
Clay,Florida,2749.0,52644
Duval,Florida,13806.0,267967
Palm Beach,Florida,15549.0,338467
Sarasota,Florida,5522.0,70148
Seminole,Florida,4689.0,127124
Carroll,Iowa,220.0,4310
Wyandotte,Kansas,2309.0,45814
Montgomery,Kentucky,513.0,7133
Androscoggin,Maine,1488.0,25947
Ingham,Michigan,3170.0,72356
Kent,Michigan,6023.0,178835
Montcalm,Michigan,889.0,15268
St. Clair,Michigan,2446.0,35370
Washtenaw,Michigan,2914.0,93878
Dakota,Minnesota,3147.0,110392
Hennepin,Minnesota,10566.0,374964
Stearns,Minnesota,1261.0,36788
Greene,Missouri,3962.0,74238
Cass,Nebraska,298.0,5842
Carson City,Nevada,1086.0,12818
Essex,New Jersey,8923.0,218771
Morris,New Jersey,3871.0,113935
Albany,New York,3307.0,74847
Delaware,New York,677.0,8723
Dutchess,New York,3166.0,67685
Herkimer,New York,796.0,13512
Orange,New York,3697.0,88448
Cabarrus,North Carolina,2241.0,54145
Forsyth,North Carolina,4734.0,93628
Johnston,North Carolina,2379.0,50474
Mecklenburg,North Carolina,9446.0,334495
Onslow,North Carolina,2052.0,55538
Trumbull,Ohio,3557.0,44871
Clackamas,Oregon,4080.0,101695
Northampton,Pennsylvania,3405.0,70616
Pike,Pennsylvania,774.0,11133
Knox,Tennessee,6816.0,118318
Alexandria city,Virginia,923.0,63661
Hanover,Virginia,1166.0,22814
James City,Virginia,810.0,15137
Prince Edward,Virginia,324.0,4254
Prince William,Virginia,3250.0,133359
Columbia,Washington,76.0,820
Grays Harbor,Washington,1306.0,16717
Yakima,Washington,2909.0,62315
Elmore,Alabama,1229.0,22298
Jefferson,Alabama,11214.0,178732
Limestone,Alabama,1258.0,24779
Montgomery,Alabama,3323.0,61518
Tuscaloosa,Alabama,2750.0,54988
San Benito,California,477.0,15535
Clear Creek,Colorado,101.0,2166
Pueblo,Colorado,2629.0,40336
Routt,Colorado,206.0,7452
Summit,Colorado,149.0,10449
Weld,Colorado,2705.0,83759
Orange,Florida,12481.0,407881
Osceola,Florida,3657.0,97530
Gordon,Georgia,910.0,14529
Henry,Georgia,2608.0,57650
Ada,Idaho,3940.0,126673
Harrison,Iowa,186.0,3066
Butler,Kansas,883.0,16140
St. Charles,Louisiana,640.0,13488
St. Tammany,Louisiana,3109.0,61056
Terrebonne,Louisiana,1737.0,30109
Cumberland,Maine,3074.0,74202
Anne Arundel,Maryland,6299.0,154863
Charles,Maryland,1774.0,40716
Bay,Michigan,1579.0,24689
Charlevoix,Michigan,334.0,5090
Leelanau,Michigan,225.0,3690
Macomb,Michigan,11677.0,219060
Wright,Minnesota,1004.0,35071
Copiah,Mississippi,525.0,6673
Leflore,Mississippi,628.0,7323
Pearl River,Mississippi,1077.0,12678
Henry,Missouri,409.0,4791
Gallatin,Montana,654.0,30684
Lewis and Clark,Montana,830.0,16371
Silver Bow,Montana,547.0,7579
Yellowstone,Montana,1965.0,41376
Ocean,New Jersey,7561.0,124295
Schenectady,New York,1827.0,38883
Wayne,North Carolina,1952.0,31024
Oklahoma,Oklahoma,10995.0,222895
